# Written by tools/mid_to_song.py. One strike per line: tick volume midi.
# Source: only my railgun (Full ver.).mid
# 4445 strikes over 4903 ticks, at most 6 a tick.
length 4903
1292 0.83 71
1292 0.83 80
1294 0.76 44
1297 0.81 47
1297 0.86 70
1297 0.86 82
1301 0.90 52
1301 0.90 56
1301 0.88 71
1301 0.88 83
1305 0.74 28
1305 0.74 40
1305 0.89 73
1305 0.89 85
1309 0.75 30
1309 0.75 42
1309 0.82 70
1309 0.82 73
1309 0.82 78
1309 0.82 82
1311 0.73 37
1313 0.77 42
1315 0.83 46
1317 0.90 49
1317 0.90 54
1317 0.74 66
1317 0.74 70
1317 0.74 73
1317 0.74 78
1322 0.90 54
1322 0.90 58
1326 0.74 30
1326 0.74 42
1326 0.90 78
1326 0.90 82
1326 0.90 85
1326 0.90 88
1328 0.73 37
1330 0.75 42
1332 0.81 46
1334 0.90 49
1334 0.90 54
1334 0.83 73
1334 0.83 78
1334 0.83 82
1334 0.83 85
1338 0.84 46
1338 0.84 49
1343 0.79 35
1343 0.79 47
1343 0.82 75
1343 0.82 78
1343 0.82 82
1343 0.82 85
1345 0.74 42
1347 0.81 47
1349 0.88 51
1349 0.82 75
1349 0.82 78
1349 0.82 82
1349 0.82 85
1351 0.90 54
1351 0.90 59
1355 0.89 51
1355 0.89 54
1355 0.84 75
1355 0.84 78
1355 0.84 83
1355 0.84 87
1359 0.79 34
1359 0.79 46
1362 0.74 42
1364 0.78 71
1364 0.78 83
1366 0.83 46
1368 0.90 49
1368 0.90 54
1368 0.77 70
1368 0.77 82
1372 0.74 30
1372 0.74 42
1372 0.73 66
1372 0.73 78
1376 0.76 32
1376 0.76 44
1376 0.74 66
1376 0.74 73
1376 0.74 78
1380 0.77 44
1380 0.85 68
1380 0.85 80
1383 0.81 47
1383 0.82 68
1383 0.82 71
1383 0.82 80
1385 0.89 51
1387 0.81 47
1389 0.90 51
1389 0.90 56
1389 0.76 66
1389 0.76 78
1393 0.75 44
1393 0.77 66
1393 0.77 73
1393 0.77 78
1395 0.79 47
1397 0.88 51
1397 0.88 68
1397 0.88 80
1399 0.79 47
1399 0.86 68
1399 0.86 71
1399 0.86 80
1401 0.90 51
1401 0.90 56
1406 0.74 32
1406 0.74 44
1406 0.79 66
1406 0.79 78
1410 0.73 28
1410 0.73 40
1410 0.79 66
1410 0.79 71
1410 0.79 78
1414 0.74 40
1414 0.89 68
1414 0.89 80
1416 0.78 44
1416 0.87 68
1416 0.87 71
1416 0.87 80
1418 0.90 47
1418 0.90 52
1422 0.74 40
1422 0.83 68
1422 0.83 80
1427 0.74 39
1427 0.83 68
1427 0.83 75
1427 0.83 80
1429 0.78 42
1431 0.84 46
1431 0.86 70
1431 0.86 82
1433 0.78 42
1435 0.90 46
1435 0.90 51
1435 0.88 71
1435 0.88 83
1439 0.74 27
1439 0.74 39
1439 0.89 73
1439 0.89 85
1443 0.74 25
1443 0.74 37
1443 0.77 68
1443 0.77 73
1443 0.77 76
1443 0.77 80
1448 0.75 37
1450 0.79 40
1452 0.85 44
1452 0.72 61
1454 0.79 40
1454 0.72 64
1456 0.90 44
1456 0.90 49
1456 0.72 68
1458 0.77 73
1460 0.74 37
1460 0.89 68
1460 0.89 73
1460 0.89 80
1462 0.78 40
1464 0.84 44
1464 0.90 70
1464 0.90 82
1466 0.78 40
1469 0.90 44
1469 0.90 49
1469 0.90 71
1469 0.90 83
1473 0.90 49
1473 0.90 73
1473 0.90 85
1475 0.74 37
1477 0.75 27
1477 0.75 39
1477 0.85 70
1477 0.85 75
1477 0.85 78
1477 0.85 82
1479 0.73 34
1481 0.77 39
1483 0.82 42
1483 0.76 66
1483 0.76 70
1483 0.76 75
1483 0.76 78
1485 0.90 46
1485 0.90 51
1490 0.90 51
1490 0.90 54
1490 0.74 63
1490 0.74 66
1490 0.74 70
1490 0.74 75
1494 0.74 39
1495 0.77 42
1496 0.82 46
1498 0.89 51
1498 0.88 71
1498 0.88 83
1499 0.90 54
1501 0.90 58
